osmid,y,x,street_count,highway,geometry,elevation
12074616903,26.7035053,88.433456,1,,POINT (88.433456 26.7035053),119.0
12074616906,26.7037146,88.4336193,1,,POINT (88.4336193 26.7037146),119.0
12087065318,26.704848,88.4458509,1,,POINT (88.4458509 26.704848),121.0
12087065319,26.7046147,88.4458059,1,,POINT (88.4458059 26.7046147),121.0
12087215594,26.6948098,88.4495396,1,,POINT (88.4495396 26.6948098),115.0
12087215595,26.6947998,88.4495297,1,,POINT (88.4495297 26.6947998),115.0
12087215598,26.7046163,88.4458144,1,,POINT (88.4458144 26.7046163),121.0
12087215602,26.7048317,88.4458557,1,,POINT (88.4458557 26.7048317),121.0
12107536684,26.7026583,88.4429023,3,,POINT (88.4429023 26.7026583),122.0
12107536687,26.7017695,88.441994,4,,POINT (88.441994 26.7017695),122.0
12107536693,26.7018012,88.4410301,3,,POINT (88.4410301 26.7018012),120.0
12107536696,26.7021926,88.4418999,3,,POINT (88.4418999 26.7021926),122.0
12108831138,26.7239893,88.4138134,1,,POINT (88.4138134 26.7239893),121.0
12108831146,26.7241627,88.4139193,1,,POINT (88.4139193 26.7241627),121.0
12115451757,26.7032758,88.4414071,3,,POINT (88.4414071 26.7032758),122.0
12115451758,26.701895,88.4410466,3,,POINT (88.4410466 26.701895),120.0
12115451759,26.7028751,88.4406008,3,,POINT (88.4406008 26.7028751),122.0
12115451765,26.7022522,88.4418371,3,,POINT (88.4418371 26.7022522),122.0
12115451767,26.7027818,88.4416146,3,,POINT (88.4416146 26.7027818),122.0
12116068517,26.7065559,88.4297275,1,,POINT (88.4297275 26.7065559),120.0
12116068532,26.707069,88.4297924,1,,POINT (88.4297924 26.707069),120.0
12188045698,26.684925,88.441264,1,,POINT (88.441264 26.684925),113.0
12188088205,26.6845719,88.441461,3,,POINT (88.441461 26.6845719),113.0
12188088221,26.6853742,88.4432047,1,,POINT (88.4432047 26.6853742),113.0
12408686142,26.7048163,88.4444319,1,,POINT (88.4444319 26.7048163),121.0
12408686143,26.7048985,88.4445377,3,,POINT (88.4445377 26.7048985),121.0
12408686151,26.7048914,88.4444402,3,,POINT (88.4444402 26.7048914),121.0
12408686153,26.704781,88.444616,3,,POINT (88.444616 26.704781),121.0
12408686162,26.7049603,88.4444203,1,,POINT (88.4444203 26.7049603),121.0
12408686165,26.7047409,88.4447217,1,,POINT (88.4447217 26.7047409),121.0
12408686174,26.7048046,88.4446872,3,,POINT (88.4446872 26.7048046),121.0
12408686176,26.704821,88.4444605,3,,POINT (88.4444605 26.704821),121.0
12408686188,26.7049186,88.4445363,1,,POINT (88.4445363 26.7049186),121.0
12408686190,26.7047642,88.4446229,1,,POINT (88.4446229 26.7047642),121.0
12521065676,26.7017356,88.4410034,1,,POINT (88.4410034 26.7017356),120.0
12521065677,26.7017941,88.440946,1,,POINT (88.440946 26.7017941),120.0
12521138238,26.7035774,88.4427155,1,,POINT (88.4427155 26.7035774),122.0
12521138240,26.7033361,88.442149,1,,POINT (88.442149 26.7033361),122.0
12548937806,26.7023224,88.4370466,1,,POINT (88.4370466 26.7023224),118.0
12548937810,26.7028845,88.4364068,1,,POINT (88.4364068 26.7028845),118.0
12548937811,26.7022306,88.437118,1,,POINT (88.437118 26.7022306),118.0
12548937812,26.7021008,88.4372498,1,,POINT (88.4372498 26.7021008),118.0
12568651519,26.7060442,88.4398338,1,,POINT (88.4398338 26.7060442),121.0
12568651521,26.7047866,88.4391461,1,,POINT (88.4391461 26.7047866),123.0
12568651537,26.7052581,88.4394191,1,,POINT (88.4394191 26.7052581),123.0
12568651542,26.7056657,88.439217,1,,POINT (88.439217 26.7056657),123.0
12568651545,26.7055939,88.4387489,1,,POINT (88.4387489 26.7055939),123.0
12568651584,26.7074926,88.4387497,1,,POINT (88.4387497 26.7074926),123.0
12568651585,26.7075957,88.4386137,4,,POINT (88.4386137 26.7075957),123.0
12568651586,26.707697,88.4387597,1,,POINT (88.4387597 26.707697),123.0
12568651589,26.7075967,88.4387625,1,,POINT (88.4387625 26.7075967),123.0
12568651590,26.707592,88.4381156,1,,POINT (88.4381156 26.707592),123.0
12568651721,26.7099108,88.4328799,1,,POINT (88.4328799 26.7099108),125.0
12568651723,26.7113734,88.4317933,1,,POINT (88.4317933 26.7113734),123.0
